tag,name,trophies,explevel,arena,clan
#8GGLJ9Y9,YASH,10502,73,Royal Road,LATENT
#YJRLLUQ9C,Montreal,10302,59,Lumberlove Cabin,KILLERS!
#892JYU8U,@heynikz,10266,62,Lumberlove Cabin,No Clan
#RPJVV2PV8,TOXIC,10163,60,Lumberlove Cabin,CR_INDIA
#V8QGQJ0,Siddhesh7,10000,65,Lumberlove Cabin,CR_INDIA
#9L9Y9QGCG,OGGY@aryan,10060,55,Lumberlove Cabin,No Clan
#20989JJGU,misar king,10000,56,Legendary Arena,No Clan
#9Y88CVRR0,EREN YEAGER,10288,64,Lumberlove Cabin,CR_INDIA
#2GQQL2JR8,Anmol,10000,70,Lumberlove Cabin,CR_INDIA
#9J892VPQL,Nikhil,10503,62,Royal Road,No Clan
